geeky,StarWars_fandom,StarWars_knowledge,StarTrek_fandom,StarTrek_knowledge,StarWars_obscure,StarTrek_obscure,familiar,desert_island,age,gender,continent,sector,MDS,sw_score,st_score
3,2,5,5,5,FALSE,FALSE,neither,neither,18,Other,Antarctica,I am a simple Tailor.,TRUE,0.5185185185185185,0.7407407407407407
3,3,3,4,4,FALSE,FALSE,Star Trek,Star Trek,55,Male,North America,Administration/Education,FALSE,0.4444444444444444,0.7777777777777778
4,1,3,5,5,FALSE,TRUE,Star Trek,Star Trek,25,Other,North America,Math/Statistics,TRUE,0.2962962962962963,0.9259259259259259
5,2,3,2,4,FALSE,FALSE,Star Trek,Star Trek,35,Male,North America,Math/Statistics,FALSE,0.37037037037037035,0.6296296296296297
5,4,3,5,4,FALSE,FALSE,both,Star Wars,35,Other,North America,Horticulture/Linguistics,FALSE,0.7037037037037037,0.8518518518518519
5,4,3,3,4,FALSE,FALSE,Star Wars,Star Wars,35,Female,North America,It's complicated,FALSE,0.7037037037037037,0.5185185185185185
3,3,3,1,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.6296296296296297,0.2222222222222222
4,4,3,3,3,FALSE,FALSE,Star Wars,Star Wars,35,Female,North America,Administration/Education,FALSE,0.7037037037037037,0.4444444444444444
4,5,3,2,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Antarctica,Chemistry/Physics,FALSE,0.7777777777777778,0.2962962962962963
2,2,2,3,3,FALSE,FALSE,Star Trek,Star Trek,35,Female,North America,Administration/Education,FALSE,0.2962962962962963,0.6296296296296297
3,3,3,4,4,FALSE,FALSE,Star Trek,Star Wars,35,Female,North America,Tech,FALSE,0.4444444444444444,0.7777777777777778
4,2,2,4,3,FALSE,FALSE,Star Trek,Star Trek,35,Male,North America,Tech,FALSE,0.2962962962962963,0.7037037037037037
1,1,2,1,1,FALSE,FALSE,neither,neither,25,Male,Europe,Math/Statistics,FALSE,0.2222222222222222,0.14814814814814814
1,2,2,2,1,FALSE,FALSE,neither,Star Trek,25,Female,Europe,Math/Statistics,FALSE,0.2962962962962963,0.2222222222222222
4,3,3,3,1,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.6296296296296297,0.2962962962962963
5,4,4,5,5,FALSE,TRUE,Star Trek,Star Trek,25,Male,Europe,Math/Statistics,FALSE,0.5925925925925926,0.9259259259259259
1,1,1,1,1,FALSE,FALSE,neither,neither,25,Female,Europe,Math/Statistics,FALSE,0.14814814814814814,0.14814814814814814
4,3,3,1,1,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.6296296296296297,0.14814814814814814
3,3,3,1,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.6296296296296297,0.2222222222222222
4,4,3,1,1,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.7037037037037037,0.14814814814814814
3,1,2,1,1,FALSE,FALSE,Star Wars,Star Trek,25,Female,Europe,Math/Statistics,FALSE,0.4074074074074074,0.14814814814814814
2,2,2,2,1,FALSE,FALSE,Star Wars,neither,25,Other,Europe,Math/Statistics,FALSE,0.48148148148148145,0.2222222222222222
2,3,2,3,1,FALSE,FALSE,Star Wars,Star Wars,35,Female,Europe,Math/Statistics,FALSE,0.5555555555555556,0.2962962962962963
3,5,4,2,1,FALSE,FALSE,Star Wars,Star Wars,25,Female,Europe,Math/Statistics,FALSE,0.8518518518518519,0.2222222222222222
5,2,2,1,1,FALSE,FALSE,Star Wars,neither,18,Female,Europe,Math/Statistics,FALSE,0.48148148148148145,0.14814814814814814
